Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 10:22:32 CET,"71675,5"
7 févr. 2024 10:22:47 CET,"71675,7"
7 févr. 2024 10:23:02 CET,"71675,9"
7 févr. 2024 10:23:17 CET,"71676,2"
7 févr. 2024 10:23:32 CET,"71676,4"
7 févr. 2024 10:23:47 CET,"71676,6"
7 févr. 2024 10:24:02 CET,"71676,8"
7 févr. 2024 10:24:17 CET,"71677,0"
7 févr. 2024 10:24:32 CET,"71677,2"
7 févr. 2024 10:24:47 CET,"71677,4"
7 févr. 2024 10:25:02 CET,"71677,6"
7 févr. 2024 10:25:17 CET,"71677,9"
7 févr. 2024 10:25:32 CET,"71678,1"
7 févr. 2024 10:25:47 CET,"71678,3"
7 févr. 2024 10:26:03 CET,"71678,5"
7 févr. 2024 10:26:18 CET,"71678,7"
7 févr. 2024 10:26:33 CET,"71679,0"
7 févr. 2024 10:26:48 CET,"71679,2"
7 févr. 2024 10:27:03 CET,"71679,4"
7 févr. 2024 10:27:18 CET,"71679,6"
7 févr. 2024 10:27:33 CET,"71679,9"
7 févr. 2024 10:27:48 CET,"71680,1"
7 févr. 2024 10:28:03 CET,"71680,3"
7 févr. 2024 10:28:18 CET,"71680,5"
7 févr. 2024 10:28:33 CET,"71680,8"
7 févr. 2024 10:28:48 CET,"71681,0"
7 févr. 2024 10:29:03 CET,"71681,2"
7 févr. 2024 10:29:18 CET,"71681,4"
7 févr. 2024 10:29:33 CET,"71681,7"
7 févr. 2024 10:29:49 CET,"71681,9"
7 févr. 2024 10:30:16 CET,"71682,1"
7 févr. 2024 10:30:19 CET,"71682,4"
7 févr. 2024 10:30:34 CET,"71682,6"
7 févr. 2024 10:30:49 CET,"71682,8"
7 févr. 2024 10:31:04 CET,"71683,0"
7 févr. 2024 10:31:19 CET,"71683,2"
7 févr. 2024 10:31:34 CET,"71683,5"
7 févr. 2024 10:31:49 CET,"71683,7"
7 févr. 2024 10:32:04 CET,"71683,9"
7 févr. 2024 10:32:19 CET,"71684,2"
7 févr. 2024 10:32:34 CET,"71684,4"
7 févr. 2024 10:32:50 CET,"71684,6"
7 févr. 2024 10:33:05 CET,"71684,9"
7 févr. 2024 10:33:20 CET,"71685,1"
7 févr. 2024 10:33:35 CET,"71685,3"
7 févr. 2024 10:33:50 CET,"71685,5"
7 févr. 2024 10:34:05 CET,"71685,8"
7 févr. 2024 10:34:20 CET,"71686,0"
7 févr. 2024 10:34:35 CET,"71686,2"
7 févr. 2024 10:34:50 CET,"71686,4"
7 févr. 2024 10:35:05 CET,"71686,6"
7 févr. 2024 10:35:20 CET,"71686,8"
7 févr. 2024 10:35:35 CET,"71687,1"
7 févr. 2024 10:35:50 CET,"71687,3"
7 févr. 2024 10:36:05 CET,"71687,5"
7 févr. 2024 10:36:20 CET,"71687,8"
7 févr. 2024 10:36:36 CET,"71688,0"
7 févr. 2024 10:36:51 CET,"71688,2"
7 févr. 2024 10:37:06 CET,"71688,4"
7 févr. 2024 10:37:21 CET,"71688,6"
7 févr. 2024 10:37:36 CET,"71688,9"
7 févr. 2024 10:37:51 CET,"71689,1"
7 févr. 2024 10:38:06 CET,"71689,3"
7 févr. 2024 10:38:21 CET,"71689,5"
7 févr. 2024 10:38:36 CET,"71689,8"
7 févr. 2024 10:38:51 CET,"71690,0"
7 févr. 2024 10:39:06 CET,"71690,3"
7 févr. 2024 10:39:21 CET,"71690,5"
7 févr. 2024 10:39:36 CET,"71690,7"
7 févr. 2024 10:39:51 CET,"71690,9"
7 févr. 2024 10:40:06 CET,"71691,2"
7 févr. 2024 10:40:21 CET,"71691,4"
7 févr. 2024 10:40:37 CET,"71691,6"
7 févr. 2024 10:40:52 CET,"71691,8"
7 févr. 2024 10:41:07 CET,"71692,1"
7 févr. 2024 10:41:22 CET,"71692,3"
7 févr. 2024 10:41:37 CET,"71692,5"
7 févr. 2024 10:41:52 CET,"71692,7"
7 févr. 2024 10:42:07 CET,"71693,0"
7 févr. 2024 10:42:22 CET,"71693,2"
7 févr. 2024 10:42:37 CET,"71693,5"
7 févr. 2024 10:42:52 CET,"71693,7"
7 févr. 2024 10:43:07 CET,"71694,0"
7 févr. 2024 10:43:22 CET,"71694,2"
7 févr. 2024 10:43:37 CET,"71694,4"
7 févr. 2024 10:43:52 CET,"71694,7"
7 févr. 2024 10:44:07 CET,"71694,9"
7 févr. 2024 10:44:23 CET,"71695,2"
7 févr. 2024 10:44:38 CET,"71695,4"
7 févr. 2024 10:44:53 CET,"71695,7"
7 févr. 2024 10:45:16 CET,"71695,9"
7 févr. 2024 10:45:23 CET,"71696,2"
7 févr. 2024 10:45:38 CET,"71696,4"
7 févr. 2024 10:45:53 CET,"71696,7"
7 févr. 2024 10:46:08 CET,"71697,0"
7 févr. 2024 10:46:23 CET,"71697,3"
7 févr. 2024 10:46:38 CET,"71697,6"
7 févr. 2024 10:46:53 CET,"71697,8"
7 févr. 2024 10:47:08 CET,"71698,1"
7 févr. 2024 10:47:24 CET,"71698,4"
7 févr. 2024 10:47:39 CET,"71698,6"
7 févr. 2024 10:47:54 CET,"71698,9"
7 févr. 2024 10:48:09 CET,"71699,2"
7 févr. 2024 10:48:24 CET,"71699,4"
7 févr. 2024 10:48:39 CET,"71699,7"
7 févr. 2024 10:48:54 CET,"71700,0"
7 févr. 2024 10:49:09 CET,"71700,3"
7 févr. 2024 10:49:24 CET,"71700,5"
